time,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,sc_51,sc_52,sc_53,sc_54,sc_55,sc_56,sc_57,sc_58,sc_59,sc_60,sc_61,sc_62,sc_63
1.2887,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,-17.0,-18.0,-17.0,-18.0,-18.0,-17.0,-16.0,-16.0,-15.0,-13.0,-13.0,-11.0,-10.0,-8.0,-6.0,-6.0,-2.0,-3.0,3.0,-1.0,8.0,1.0,12.0,3.0,16.0,5.0,20.0,6.0,23.0,6.0,25.0,6.0,26.0,6.0,26.0,6.0,26.0,5.0,24.0,4.0,21.0,4.0,17.0,3.0,12.0,3.0,7.0,2.0,2.0,3.0,-4.0
1.3019,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,22.0,-9.0,23.0,-9.0,22.0,-9.0,21.0,-8.0,18.0,-7.0,16.0,-5.0,12.0,-2.0,8.0,0.0,4.0,4.0,-1.0,8.0,-4.0,11.0,-8.0,14.0,-11.0,16.0,-14.0,19.0,-16.0,20.0,-17.0,22.0,-18.0,22.0,-17.0,21.0,-16.0,19.0,-15.0,16.0,-12.0,13.0,-10.0,8.0,-7.0,3.0,-6.0,-2.0,-4.0,-7.0,-1.0
1.316,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,-1.0,4.0,-6.0,5.0,-10.0,6.0,-15.0,6.0,-18.0,8.0,-21.0,9.0,-23.0,10.0,-25.0,10.0,-25.0,10.0,-24.0,10.0,-22.0,9.0,-20.0,7.0,-17.0,5.0,-13.0,2.0,-9.0,-1.0,-5.0,-5.0,-1.0,-9.0,3.0,-13.0,6.0,-16.0,9.0,-20.0,11.0,-23.0,13.0,-24.0,14.0,-25.0,14.0,-25.0,13.0
1.3304,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,-6.0,18.0,-5.0,13.0,-4.0,9.0,-5.0,3.0,-4.0,-2.0,-5.0,-8.0,-5.0,-13.0,-6.0,-19.0,-7.0,-22.0,-9.0,-25.0,-10.0,-27.0,-11.0,-28.0,-12.0,-29.0,-11.0,-28.0,-12.0,-25.0,-11.0,-22.0,-10.0,-18.0,-8.0,-13.0,-5.0,-9.0,-2.0,-4.0,2.0,1.0,6.0,6.0,10.0,9.0,14.0,12.0,18.0,15.0,22.0
1.3443,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,4.0,26.0,3.0,26.0,3.0,25.0,3.0,23.0,2.0,19.0,2.0,14.0,3.0,9.0,4.0,4.0,4.0,-2.0,5.0,-7.0,6.0,-13.0,8.0,-18.0,9.0,-22.0,11.0,-25.0,12.0,-27.0,13.0,-28.0,13.0,-28.0,13.0,-27.0,12.0,-25.0,11.0,-22.0,8.0,-18.0,5.0,-14.0,2.0,-10.0,-2.0,-5.0,-6.0,0.0
1.3581,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,10.0,-18.0,9.0,-14.0,7.0,-9.0,5.0,-4.0,5.0,1.0,3.0,6.0,2.0,12.0,2.0,17.0,2.0,21.0,2.0,25.0,2.0,27.0,2.0,29.0,3.0,30.0,3.0,29.0,3.0,27.0,3.0,25.0,3.0,20.0,2.0,16.0,1.0,10.0,0.0,5.0,-2.0,-1.0,-5.0,-7.0,-7.0,-11.0,-9.0,-16.0,-12.0,-20.0,-15.0
1.3732,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-3.0,-4.0,2.0,-1.0,7.0,1.0,12.0,3.0,16.0,4.0,20.0,5.0,24.0,5.0,26.0,5.0,28.0,4.0,28.0,4.0,27.0,3.0,26.0,3.0,23.0,2.0,19.0,3.0,15.0,3.0,9.0,3.0,3.0,4.0,-3.0,5.0,-9.0,6.0,-14.0,8.0,-19.0,10.0,-23.0,11.0,-26.0,13.0,-28.0,14.0,-30.0,15.0,-28.0
1.3871,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,6.0,-21.0,6.0,-21.0,6.0,-20.0,5.0,-18.0,5.0,-15.0,4.0,-12.0,4.0,-8.0,3.0,-4.0,3.0,2.0,2.0,6.0,3.0,10.0,3.0,14.0,3.0,18.0,3.0,21.0,4.0,22.0,4.0,24.0,5.0,23.0,5.0,23.0,5.0,21.0,4.0,18.0,4.0,15.0,3.0,11.0,1.0,7.0,0.0,2.0,-2.0,-2.0,-4.0
1.4084,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-15.0,-6.0,-20.0,-7.0,-23.0,-8.0,-26.0,-8.0,-27.0,-8.0,-28.0,-8.0,-27.0,-7.0,-26.0,-7.0,-23.0,-6.0,-19.0,-5.0,-15.0,-5.0,-9.0,-5.0,-4.0,-5.0,2.0,-5.0,7.0,-6.0,13.0,-6.0,19.0,-8.0,22.0,-9.0,26.0,-10.0,28.0,-10.0,30.0,-11.0,30.0,-11.0,28.0,-10.0,25.0,-9.0,22.0,-7.0,19.0
1.4174,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-12.0,3.0,-16.0,4.0,-19.0,4.0,-21.0,4.0,-22.0,5.0,-23.0,5.0,-22.0,5.0,-21.0,4.0,-19.0,3.0,-16.0,2.0,-12.0,0.0,-9.0,-2.0,-5.0,-4.0,0.0,-7.0,3.0,-9.0,7.0,-12.0,10.0,-14.0,12.0,-17.0,15.0,-18.0,16.0,-19.0,17.0,-20.0,16.0,-19.0,15.0,-18.0,14.0,-15.0,12.0,-13.0,10.0
1.4284,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-21.0,-12.0,-22.0,-12.0,-22.0,-11.0,-20.0,-11.0,-18.0,-9.0,-15.0,-7.0,-12.0,-6.0,-7.0,-5.0,-2.0,-3.0,3.0,-3.0,8.0,-2.0,13.0,-2.0,17.0,-1.0,21.0,-1.0,24.0,-1.0,26.0,-1.0,27.0,-2.0,27.0,-2.0,26.0,-2.0,24.0,-2.0,20.0,-1.0,16.0,0.0,11.0,1.0,6.0,3.0,1.0,4.0,-5.0
1.4422,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,6.0,26.0,5.0,26.0,5.0,24.0,5.0,22.0,4.0,18.0,3.0,13.0,3.0,8.0,3.0,3.0,4.0,-3.0,5.0,-8.0,6.0,-14.0,7.0,-19.0,8.0,-23.0,9.0,-26.0,10.0,-28.0,11.0,-29.0,11.0,-28.0,10.0,-28.0,10.0,-27.0,8.0,-21.0,6.0,-19.0,2.0,-13.0,1.0,-10.0,-2.0,-3.0,-7.0,4.0
1.4557,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-3.0,1.0,-6.0,-6.0,-9.0,-11.0,-12.0,-16.0,-16.0,-20.0,-18.0,-23.0,-22.0,-26.0,-24.0,-27.0,-26.0,-27.0,-27.0,-25.0,-25.0,-23.0,-24.0,-21.0,-21.0,-18.0,-17.0,-14.0,-13.0,-10.0,-7.0,-5.0,1.0,-3.0,7.0,1.0,14.0,3.0,20.0,6.0,27.0,6.0,31.0,7.0,35.0,7.0,38.0,8.0,39.0,6.0,38.0
1.4695,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,5.0,2.0,3.0,7.0,1.0,12.0,-1.0,16.0,-2.0,21.0,-3.0,24.0,-3.0,27.0,-3.0,29.0,-3.0,29.0,-3.0,27.0,-3.0,26.0,-2.0,23.0,-2.0,19.0,-2.0,15.0,-2.0,9.0,-3.0,3.0,-4.0,-2.0,-6.0,-8.0,-7.0,-13.0,-9.0,-18.0,-11.0,-22.0,-14.0,-25.0,-15.0,-26.0,-17.0,-28.0,-18.0,-27.0,-19.0
1.4828,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-6.0,-2.0,-5.0,-7.0,-3.0,-12.0,-3.0,-17.0,-2.0,-22.0,-1.0,-25.0,-2.0,-28.0,-2.0,-30.0,-3.0,-29.0,-3.0,-29.0,-3.0,-27.0,-3.0,-24.0,-3.0,-20.0,-2.0,-16.0,-1.0,-10.0,0.0,-5.0,2.0,1.0,4.0,7.0,7.0,11.0,10.0,15.0,13.0,18.0,16.0,21.0,18.0,23.0,20.0,24.0,21.0,22.0,22.0
1.4967,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,7.0,-5.0,7.0,-6.0,7.0,-5.0,7.0,-5.0,7.0,-5.0,8.0,-5.0,7.0,-5.0,7.0,-5.0,7.0,-5.0,8.0,-4.0,8.0,-4.0,8.0,-4.0,8.0,-4.0,8.0,-3.0,8.0,-3.0,8.0,-3.0,8.0,-3.0,8.0,-3.0,9.0,-2.0,9.0,-3.0,9.0,-2.0,9.0,-2.0,9.0,-2.0,9.0,-2.0,9.0,-1.0,10.0
1.5125,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-13.0,-5.0,-16.0,-5.0,-19.0,-6.0,-20.0,-6.0,-22.0,-6.0,-23.0,-6.0,-22.0,-5.0,-21.0,-5.0,-19.0,-4.0,-16.0,-4.0,-12.0,-3.0,-8.0,-4.0,-3.0,-4.0,1.0,-5.0,6.0,-5.0,10.0,-6.0,14.0,-7.0,17.0,-8.0,20.0,-9.0,22.0,-9.0,23.0,-9.0,23.0,-10.0,22.0,-9.0,20.0,-8.0,17.0,-6.0,14.0
1.5259,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,11.0,2.0,11.0,1.0,10.0,1.0,11.0,1.0,11.0,1.0,11.0,1.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,-1.0,11.0,-1.0,11.0,-1.0,11.0,-1.0,11.0,-1.0,11.0,-2.0,11.0,-2.0,11.0,-2.0,11.0,-3.0,11.0,-3.0,11.0,-3.0,11.0,-3.0,12.0,-4.0,12.0,-4.0,12.0,-4.0
1.5411,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,11.0,1.0,10.0,2.0,11.0,1.0,10.0,1.0,10.0,2.0,11.0,2.0,10.0,2.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,4.0,9.0,4.0,9.0,4.0,10.0,4.0,9.0,5.0,9.0,5.0,10.0,5.0,10.0,5.0,9.0,6.0,9.0,6.0,10.0,6.0,10.0,7.0,10.0
1.5561,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,8.0,-19.0,12.0,-22.0,14.0,-25.0,16.0,-27.0,16.0,-28.0,16.0,-27.0,16.0,-25.0,15.0,-22.0,13.0,-18.0,11.0,-13.0,9.0,-8.0,7.0,-2.0,4.0,5.0,3.0,11.0,1.0,17.0,0.0,23.0,-1.0,27.0,-1.0,32.0,-2.0,33.0,-2.0,35.0,-1.0,34.0,-1.0,33.0,-1.0,29.0,-1.0,25.0,-1.0,20.0,-1.0
1.5691,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-8.0,12.0,-11.0,14.0,-12.0,17.0,-13.0,17.0,-13.0,18.0,-14.0,18.0,-14.0,17.0,-12.0,15.0,-11.0,12.0,-10.0,9.0,-8.0,5.0,-6.0,1.0,-4.0,-3.0,-3.0,-8.0,-2.0,-12.0,-1.0,-17.0,0.0,-19.0,0.0,-23.0,1.0,-25.0,1.0,-26.0,0.0,-25.0,0.0,-25.0,0.0,-23.0,0.0,-20.0,0.0,-17.0,0.0
1.5832,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-30.0,3.0,-31.0,3.0,-31.0,3.0,-29.0,2.0,-26.0,2.0,-22.0,0.0,-17.0,-1.0,-12.0,-3.0,-6.0,-5.0,0.0,-9.0,5.0,-11.0,11.0,-14.0,16.0,-16.0,21.0,-18.0,24.0,-20.0,25.0,-21.0,27.0,-22.0,27.0,-21.0,26.0,-19.0,24.0,-17.0,20.0,-14.0,17.0,-10.0,13.0,-5.0,9.0,0.0,4.0,6.0,-1.0
1.5972,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,14.0,-20.0,15.0,-19.0,14.0,-18.0,13.0,-17.0,12.0,-14.0,11.0,-11.0,8.0,-7.0,6.0,-2.0,4.0,3.0,2.0,7.0,1.0,12.0,-1.0,17.0,-2.0,20.0,-3.0,23.0,-4.0,26.0,-4.0,27.0,-4.0,27.0,-3.0,26.0,-3.0,25.0,-3.0,21.0,-2.0,17.0,-2.0,13.0,-2.0,7.0,-3.0,2.0,-4.0,-4.0,-4.0
1.611,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-8.0,-21.0,-8.0,-21.0,-8.0,-19.0,-7.0,-18.0,-6.0,-15.0,-5.0,-12.0,-4.0,-8.0,-2.0,-5.0,1.0,-1.0,3.0,2.0,6.0,6.0,9.0,9.0,11.0,12.0,14.0,13.0,15.0,15.0,17.0,15.0,18.0,16.0,19.0,15.0,18.0,14.0,17.0,12.0,14.0,9.0,12.0,7.0,8.0,4.0,3.0,3.0,1.0,1.0,-5.0
1.6249,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,18.0,-15.0,15.0,-11.0,12.0,-7.0,9.0,-1.0,5.0,4.0,2.0,9.0,0.0,15.0,-3.0,20.0,-5.0,24.0,-6.0,28.0,-7.0,30.0,-7.0,32.0,-7.0,33.0,-8.0,31.0,-6.0,29.0,-5.0,25.0,-5.0,20.0,-4.0,14.0,-4.0,8.0,-4.0,1.0,-4.0,-6.0,-5.0,-13.0,-6.0,-19.0,-8.0,-24.0,-10.0,-28.0,-12.0
1.6389,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-6.0,-4.0,-1.0,-6.0,3.0,-8.0,7.0,-11.0,11.0,-13.0,14.0,-15.0,16.0,-17.0,18.0,-18.0,19.0,-18.0,19.0,-18.0,18.0,-17.0,17.0,-15.0,15.0,-13.0,13.0,-9.0,10.0,-5.0,7.0,-1.0,4.0,4.0,1.0,9.0,-1.0,13.0,-3.0,18.0,-4.0,21.0,-5.0,25.0,-6.0,27.0,-6.0,28.0,-6.0,27.0,-5.0
1.6536,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-5.0,-9.0,-4.0,-10.0,-4.0,-9.0,-4.0,-8.0,-4.0,-9.0,-5.0,-9.0,-4.0,-10.0,-3.0,-9.0,-4.0,-9.0,-3.0,-9.0,-3.0,-9.0,-3.0,-9.0,-3.0,-9.0,-2.0,-9.0,-2.0,-9.0,-2.0,-9.0,-1.0,-10.0,-1.0,-10.0,-1.0,-10.0,-1.0,-10.0,-1.0,-10.0,-1.0,-10.0,0.0,-10.0,0.0,-10.0,0.0,-10.0,0.0
1.6675,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,-11.0,32.0,-11.0,32.0,-11.0,30.0,-10.0,28.0,-10.0,23.0,-9.0,18.0,-8.0,12.0,-6.0,5.0,-7.0,-2.0,-6.0,-9.0,-6.0,-16.0,-6.0,-23.0,-7.0,-28.0,-7.0,-32.0,-7.0,-36.0,-9.0,-38.0,-9.0,-39.0,-10.0,-37.0,-10.0,-35.0,-9.0,-31.0,-9.0,-26.0,-7.0,-20.0,-5.0,-14.0,-3.0,-7.0,1.0,0.0,4.0
1.6813,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,22.0,-15.0,19.0,-12.0,15.0,-7.0,11.0,-2.0,7.0,4.0,3.0,9.0,0.0,16.0,-4.0,21.0,-7.0,26.0,-9.0,29.0,-11.0,33.0,-11.0,35.0,-12.0,36.0,-13.0,35.0,-12.0,33.0,-11.0,30.0,-9.0,24.0,-8.0,19.0,-7.0,12.0,-6.0,5.0,-5.0,-4.0,-5.0,-11.0,-4.0,-19.0,-5.0,-24.0,-7.0,-30.0,-8.0
1.6965,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-20.0,-10.0,-17.0,-9.0,-14.0,-7.0,-9.0,-5.0,-3.0,-4.0,2.0,-4.0,7.0,-3.0,13.0,-2.0,18.0,-2.0,22.0,-2.0,25.0,-3.0,28.0,-4.0,29.0,-3.0,30.0,-4.0,28.0,-4.0,27.0,-3.0,24.0,-3.0,19.0,-2.0,14.0,0.0,9.0,2.0,4.0,4.0,-2.0,7.0,-8.0,10.0,-13.0,13.0,-17.0,15.0,-20.0
1.7104,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,4.0,-17.0,6.0,-20.0,7.0,-23.0,7.0,-24.0,8.0,-25.0,8.0,-24.0,8.0,-23.0,7.0,-20.0,7.0,-17.0,5.0,-12.0,4.0,-7.0,4.0,-2.0,3.0,3.0,3.0,8.0,3.0,13.0,4.0,18.0,4.0,21.0,5.0,25.0,6.0,26.0,6.0,27.0,7.0,27.0,7.0,26.0,7.0,23.0,6.0,20.0,5.0,16.0,4.0
1.7232,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,10.0,4.0,10.0,4.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,1.0,10.0,1.0,10.0,1.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,-1.0,11.0,-1.0,11.0,-1.0,12.0,-2.0,12.0,-2.0,12.0,-2.0
1.7357,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,17.0,-16.0,15.0,-12.0,11.0,-7.0,9.0,-2.0,6.0,3.0,3.0,8.0,0.0,14.0,-2.0,20.0,-3.0,24.0,-5.0,28.0,-5.0,30.0,-5.0,32.0,-5.0,33.0,-5.0,32.0,-4.0,30.0,-3.0,26.0,-3.0,22.0,-2.0,16.0,-2.0,9.0,-3.0,4.0,-3.0,-4.0,-5.0,-11.0,-7.0,-16.0,-9.0,-21.0,-11.0,-26.0,-13.0
1.7499,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-14.0,2.0,-18.0,2.0,-22.0,3.0,-24.0,3.0,-26.0,3.0,-26.0,3.0,-25.0,3.0,-24.0,2.0,-21.0,2.0,-18.0,1.0,-14.0,-1.0,-9.0,-2.0,-5.0,-5.0,0.0,-8.0,4.0,-10.0,9.0,-12.0,13.0,-15.0,16.0,-17.0,19.0,-18.0,20.0,-19.0,21.0,-19.0,21.0,-19.0,20.0,-18.0,18.0,-16.0,16.0,-13.0,13.0
1.7631,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,21.0,-17.0,22.0,-17.0,21.0,-16.0,20.0,-14.0,18.0,-12.0,15.0,-9.0,12.0,-5.0,8.0,-1.0,6.0,3.0,1.0,9.0,-2.0,13.0,-5.0,18.0,-8.0,21.0,-10.0,24.0,-11.0,26.0,-12.0,28.0,-13.0,28.0,-12.0,27.0,-11.0,25.0,-11.0,22.0,-9.0,18.0,-8.0,13.0,-6.0,7.0,-6.0,1.0,-4.0,-6.0,-4.0
1.7787,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,7.0,-6.0,7.0,-6.0,7.0,-6.0,6.0,-6.0,7.0,-6.0,7.0,-6.0,7.0,-5.0,7.0,-5.0,7.0,-5.0,7.0,-5.0,7.0,-5.0,7.0,-5.0,7.0,-4.0,7.0,-4.0,8.0,-4.0,7.0,-3.0,8.0,-3.0,8.0,-4.0,8.0,-3.0,8.0,-3.0,9.0,-3.0,9.0,-3.0,9.0,-2.0,9.0,-3.0,9.0,-2.0,10.0
1.7918,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,5.0,8.0,5.0,8.0,5.0,8.0,5.0,7.0,5.0,7.0,5.0,7.0,5.0,7.0,5.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,5.0,8.0,5.0,8.0,5.0,7.0,5.0,8.0,5.0,8.0,5.0,9.0,5.0,8.0,5.0,9.0,4.0,9.0,5.0
1.8052,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-20.0,5.0,-17.0,4.0,-13.0,2.0,-10.0,-1.0,-5.0,-4.0,-1.0,-8.0,2.0,-11.0,5.0,-15.0,8.0,-17.0,11.0,-20.0,12.0,-22.0,13.0,-23.0,14.0,-24.0,14.0,-23.0,13.0,-22.0,12.0,-19.0,10.0,-16.0,8.0,-12.0,7.0,-8.0,5.0,-2.0,3.0,3.0,2.0,9.0,1.0,14.0,0.0,18.0,1.0,22.0,1.0
1.8197,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,2.0,8.0,2.0,8.0,2.0,8.0,2.0,8.0,2.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,-1.0,8.0,-1.0,9.0,-1.0,9.0,-2.0,9.0,-1.0,9.0,-1.0,9.0,-2.0,9.0,-2.0,9.0,-2.0,9.0,-3.0
1.8336,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-25.0,1.0,-25.0,1.0,-25.0,1.0,-23.0,1.0,-21.0,0.0,-18.0,0.0,-14.0,-1.0,-9.0,-3.0,-5.0,-5.0,0.0,-7.0,4.0,-8.0,9.0,-11.0,13.0,-12.0,17.0,-14.0,20.0,-15.0,21.0,-16.0,22.0,-17.0,22.0,-16.0,22.0,-15.0,20.0,-13.0,17.0,-11.0,14.0,-7.0,11.0,-4.0,7.0,0.0,3.0,4.0,-1.0
1.8469,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-9.0,13.0,-12.0,16.0,-14.0,18.0,-16.0,19.0,-17.0,19.0,-17.0,19.0,-17.0,18.0,-16.0,16.0,-14.0,12.0,-12.0,9.0,-9.0,4.0,-7.0,0.0,-5.0,-5.0,-2.0,-10.0,-1.0,-15.0,1.0,-19.0,2.0,-23.0,3.0,-26.0,4.0,-28.0,4.0,-29.0,4.0,-28.0,3.0,-27.0,3.0,-24.0,2.0,-21.0,2.0,-17.0,2.0
1.8609,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,10.0,-17.0,9.0,-13.0,7.0,-9.0,6.0,-4.0,4.0,2.0,3.0,7.0,2.0,13.0,2.0,18.0,2.0,22.0,2.0,25.0,3.0,27.0,4.0,29.0,4.0,30.0,4.0,28.0,4.0,26.0,4.0,24.0,4.0,19.0,3.0,15.0,2.0,9.0,0.0,3.0,-3.0,-2.0,-5.0,-8.0,-8.0,-12.0,-12.0,-16.0,-15.0,-19.0,-18.0
1.8764,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-8.0,-5.0,-1.0,-8.0,5.0,-10.0,11.0,-12.0,17.0,-15.0,22.0,-18.0,26.0,-19.0,28.0,-20.0,30.0,-21.0,30.0,-21.0,29.0,-20.0,26.0,-18.0,23.0,-15.0,20.0,-11.0,16.0,-6.0,11.0,0.0,5.0,6.0,2.0,12.0,-4.0,17.0,-7.0,24.0,-10.0,28.0,-12.0,33.0,-13.0,36.0,-14.0,38.0,-14.0,37.0,-12.0
1.8993,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,-1.0,-6.0,-7.0,-6.0,-12.0,-7.0,-18.0,-9.0,-22.0,-10.0,-25.0,-12.0,-28.0,-13.0,-30.0,-15.0,-30.0,-15.0,-29.0,-15.0,-26.0,-14.0,-24.0,-13.0,-20.0,-11.0,-16.0,-8.0,-11.0,-4.0,-5.0,0.0,-1.0,5.0,3.0,10.0,7.0,15.0,10.0,20.0,11.0,25.0,14.0,28.0,15.0,30.0,16.0,32.0,13.0,32.0
1.9131,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,8.0,15.0,10.0,19.0,11.0,20.0,11.0,22.0,11.0,22.0,11.0,22.0,10.0,20.0,10.0,19.0,8.0,15.0,6.0,11.0,5.0,7.0,4.0,1.0,3.0,-4.0,2.0,-9.0,1.0,-14.0,1.0,-18.0,1.0,-22.0,1.0,-26.0,1.0,-28.0,2.0,-29.0,1.0,-29.0,2.0,-28.0,2.0,-26.0,2.0,-22.0,1.0,-19.0
1.9286,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-10.0,-4.0,-10.0,-3.0,-10.0,-3.0,-11.0,-3.0,-10.0,-4.0,-11.0,-4.0,-10.0,-4.0,-10.0,-5.0,-10.0,-4.0,-9.0,-5.0,-10.0,-5.0,-10.0,-5.0,-10.0,-5.0,-9.0,-6.0,-9.0,-6.0,-9.0,-6.0,-9.0,-6.0,-9.0,-7.0,-9.0,-7.0,-9.0,-7.0,-9.0,-7.0,-9.0,-8.0,-8.0,-8.0,-9.0,-8.0,-9.0,-8.0,-9.0
1.9426,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,0.0,4.0,-7.0,6.0,-12.0,7.0,-18.0,8.0,-23.0,9.0,-27.0,10.0,-29.0,11.0,-31.0,12.0,-31.0,12.0,-29.0,11.0,-28.0,10.0,-25.0,8.0,-21.0,5.0,-17.0,2.0,-11.0,-2.0,-6.0,-6.0,-1.0,-11.0,5.0,-15.0,9.0,-19.0,13.0,-24.0,15.0,-26.0,18.0,-29.0,18.0,-30.0,20.0,-30.0,18.0
